,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
3042,K5Pb8I6,"[5, 8, 6]","[[1], [-1, 2], [-1]]",K5(Pb4I3)2,[],[],"[1.0, 0.308875, 0.906]",0.27984075,0.68335177,FALSE,FALSE
3043,K5Pb9I2,"[5, 9, 2]","[[1], [-1, 2], [-1]]",K5Pb9I2,[],[],"[1.0, 0.2738888888888889, 0.906]",0.248143333,0.605948869,FALSE,FALSE
3044,K5Pb9I5,"[5, 9, 5]","[[1], [-1, 2], [-1]]",K5Pb9I5,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3045,K5Pb10I1,"[5, 10, 1]","[[1], [-1, 2], [-1]]",K5Pb10I,[],[],"[1.0, 0.2688, 0.906]",0.2435328,0.594690265,FALSE,FALSE
3046,K5Pb10I4,"[5, 10, 4]","[[1], [-1, 2], [-1]]",K5(Pb5I2)2,[],[],"[1.0, 0.2917, 0.906]",0.2642802,0.645353982,FALSE,FALSE
3047,K5Pb11I3,"[5, 11, 3]","[[1], [-1, 2], [-1]]",K5Pb11I3,[],[],"[1.0, 0.28545454545454546, 0.906]",0.258621818,0.631536605,FALSE,FALSE
3048,K5Pb12I2,"[5, 12, 2]","[[1], [-1, 2], [-1]]",K5(Pb6I)2,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
3049,K5Pb13I1,"[5, 13, 1]","[[1], [-1, 2], [-1]]",K5Pb13I,[],[],"[1.0, 0.27584615384615385, 0.906]",0.249916615,0.610279101,FALSE,FALSE
3050,K6Pb1I5,"[6, 1, 5]","[[1], [-1], [-1]]",K6PbI5,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3051,K6Pb1I8,"[6, 1, 8]","[[1], [2], [-1]]",K6PbI8,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3052,K6Pb2I7,"[6, 2, 7]","[[1], [-1, 2], [-1]]",K6Pb2I7,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3053,K6Pb3I6,"[6, 3, 6]","[[1], [-1, 2], [-1]]",K2PbI2,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3054,K6Pb3I9,"[6, 3, 9]","[[1], [-1, 2], [-1]]",K2PbI3,[],[],"[1.0, 0.3756666666666667, 0.906]",0.340354,0.831120944,FALSE,FALSE
